Date,Open,High,Low,Close
05/12/2023,"1.2512","1.2542","1.2444","1.2448"
05/11/2023,"1.2621","1.2641","1.2496","1.2510"
05/10/2023,"1.2620","1.2681","1.2602","1.2627"
05/09/2023,"1.2619","1.2641","1.2577","1.2621"
05/08/2023,"1.2639","1.2669","1.2612","1.2618"
05/05/2023,"1.2572","1.2653","1.2560","1.2633"
05/04/2023,"1.2555","1.2600","1.2548","1.2574"
05/03/2023,"1.2465","1.2589","1.2463","1.2566"
05/02/2023,"1.2496","1.2513","1.2435","1.2467"
05/01/2023,"1.2569","1.2572","1.2480","1.2497"
04/28/2023,"1.2498","1.2585","1.2446","1.2565"
04/27/2023,"1.2467","1.2501","1.2436","1.2500"
04/26/2023,"1.2408","1.2515","1.2402","1.2468"
04/25/2023,"1.2481","1.2508","1.2386","1.2409"
04/24/2023,"1.2427","1.2487","1.2410","1.2485"
04/21/2023,"1.2438","1.2449","1.2366","1.2440"
04/20/2023,"1.2441","1.2468","1.2405","1.2443"
04/19/2023,"1.2427","1.2474","1.2392","1.2439"
04/18/2023,"1.2378","1.2451","1.2368","1.2424"
04/17/2023,"1.2423","1.2439","1.2353","1.2376"
04/14/2023,"1.2521","1.2548","1.2398","1.2415"
04/13/2023,"1.2484","1.2538","1.2479","1.2524"
04/12/2023,"1.2425","1.2496","1.2398","1.2485"
04/11/2023,"1.2383","1.2457","1.2379","1.2426"
04/10/2023,"1.2425","1.2444","1.2344","1.2384"
04/07/2023,"1.2440","1.2457","1.2390","1.2419"
04/06/2023,"1.2463","1.2487","1.2412","1.2438"
04/05/2023,"1.2502","1.2515","1.2433","1.2461"
04/04/2023,"1.2416","1.2525","1.2394","1.2500"
04/03/2023,"1.2345","1.2425","1.2275","1.2417"
03/31/2023,"1.2387","1.2423","1.2324","1.2334"
03/30/2023,"1.2315","1.2393","1.2294","1.2386"
03/29/2023,"1.2341","1.2362","1.2303","1.2316"
03/28/2023,"1.2283","1.2350","1.2281","1.2342"
03/27/2023,"1.2237","1.2295","1.2218","1.2286"
03/24/2023,"1.2288","1.2294","1.2191","1.2232"
03/23/2023,"1.2269","1.2344","1.2262","1.2287"
03/22/2023,"1.2219","1.2335","1.2208","1.2270"
03/21/2023,"1.2279","1.2283","1.2178","1.2217"
03/20/2023,"1.2215","1.2286","1.2168","1.2277"
03/17/2023,"1.2106","1.2231","1.2101","1.2179"
03/16/2023,"1.2058","1.2129","1.2027","1.2110"
03/15/2023,"1.2157","1.2182","1.2009","1.2057"
03/14/2023,"1.2183","1.2204","1.2138","1.2159"
03/13/2023,"1.2034","1.2200","1.2034","1.2184"
03/10/2023,"1.1926","1.2111","1.1910","1.2034"
03/09/2023,"1.1836","1.1939","1.1831","1.1924"
03/08/2023,"1.1828","1.1874","1.1803","1.1844"
03/07/2023,"1.2022","1.2066","1.1821","1.1825"
03/06/2023,"1.2031","1.2050","1.1993","1.2028"
03/03/2023,"1.1945","1.2050","1.1942","1.2043"
03/02/2023,"1.2030","1.2037","1.1924","1.1947"
03/01/2023,"1.2021","1.2090","1.1966","1.2026"
02/28/2023,"1.2058","1.2144","1.2017","1.2023"
02/27/2023,"1.1945","1.2067","1.1923","1.2065"
02/24/2023,"1.2015","1.2042","1.1929","1.1942"
02/23/2023,"1.2048","1.2076","1.1992","1.2013"
02/22/2023,"1.2113","1.2136","1.2036","1.2047"
02/21/2023,"1.2039","1.2147","1.1986","1.2111"
02/20/2023,"1.2044","1.2057","1.2014","1.2041"
02/17/2023,"1.1993","1.2053","1.1915","1.2043"
02/16/2023,"1.2034","1.2075","1.1965","1.1988"
02/15/2023,"1.2173","1.2183","1.1989","1.2032"
02/14/2023,"1.2139","1.2269","1.2118","1.2174"
02/13/2023,"1.2064","1.2152","1.2030","1.2141"
02/10/2023,"1.2122","1.2140","1.2026","1.2060"
02/09/2023,"1.2071","1.2195","1.2056","1.2121"
02/08/2023,"1.2043","1.2111","1.2032","1.2073"
02/07/2023,"1.2019","1.2096","1.1960","1.2047"
02/06/2023,"1.2048","1.2079","1.2005","1.2018"
02/03/2023,"1.2222","1.2267","1.2047","1.2056"
02/02/2023,"1.2376","1.2401","1.2221","1.2224"
02/01/2023,"1.2322","1.2392","1.2273","1.2372"
01/31/2023,"1.2351","1.2371","1.2285","1.2317"
01/30/2023,"1.2381","1.2418","1.2337","1.2352"
01/27/2023,"1.2409","1.2421","1.2345","1.2396"
01/26/2023,"1.2402","1.2431","1.2346","1.2410"
01/25/2023,"1.2333","1.2405","1.2283","1.2404"
01/24/2023,"1.2377","1.2413","1.2263","1.2329"
01/23/2023,"1.2389","1.2449","1.2323","1.2379"
01/20/2023,"1.2389","1.2406","1.2335","1.2394"
01/19/2023,"1.2354","1.2398","1.2312","1.2391"
01/18/2023,"1.2289","1.2435","1.2255","1.2348"
01/17/2023,"1.2201","1.2300","1.2169","1.2287"
01/16/2023,"1.2231","1.2291","1.2172","1.2196"
01/13/2023,"1.2211","1.2249","1.2150","1.2234"
01/12/2023,"1.2148","1.2248","1.2089","1.2212"
01/11/2023,"1.2151","1.2179","1.2099","1.2149"
01/10/2023,"1.2184","1.2199","1.2110","1.2150"
01/09/2023,"1.2093","1.2211","1.2085","1.2185"
01/06/2023,"1.1906","1.2100","1.1841","1.2093"
01/05/2023,"1.2056","1.2078","1.1875","1.1911"
01/04/2023,"1.1966","1.2089","1.1958","1.2054"
01/03/2023,"1.2045","1.2086","1.1905","1.1967"
01/02/2023,"1.2098","1.2115","1.2038","1.2048"
12/30/2022,"1.2056","1.2108","1.2011","1.2098"
12/29/2022,"1.2017","1.2080","1.2014","1.2055"
12/28/2022,"1.2024","1.2125","1.2002","1.2021"
12/27/2022,"1.2062","1.2114","1.2002","1.2031"
12/26/2022,"1.2053","1.2086","1.2040","1.2069"
12/23/2022,"1.2041","1.2091","1.2014","1.2051"
12/22/2022,"1.2082","1.2148","1.1994","1.2045"
12/21/2022,"1.2177","1.2193","1.2055","1.2085"
12/20/2022,"1.2148","1.2224","1.2085","1.2185"
12/19/2022,"1.2144","1.2242","1.2120","1.2145"
12/16/2022,"1.2178","1.2223","1.1977","1.2141"
12/15/2022,"1.2424","1.2431","1.2156","1.2179"
12/14/2022,"1.2363","1.2447","1.2342","1.2425"
12/13/2022,"1.2271","1.2444","1.2248","1.2365"
12/12/2022,"1.2259","1.2300","1.2208","1.2273"
12/09/2022,"1.2238","1.2324","1.2215","1.2262"
12/08/2022,"1.2201","1.2248","1.2155","1.2235"
12/07/2022,"1.2139","1.2235","1.2106","1.2207"
12/06/2022,"1.2191","1.2269","1.2127","1.2130"
12/05/2022,"1.2300","1.2346","1.2162","1.2192"
